sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大同,臺北市,40,,良好,1.3,0.99,14.2,8.7,30,14,24.1,52.2,28.1,-,-,2024-06-13 11:00,,0.9,11.5,27,1,121.51342074,25.06331455,16
松山,臺北市,37,,良好,1.2,0.28,21.4,10.5,21,15,17.2,27.2,9.9,1.5,238,2024-06-13 11:00,,0.2,11.3,19,1,121.578611,25.05,15
古亭,臺北市,21,,良好,1.2,0.19,29.1,9.6,13,6,8.7,11.6,2.9,1.5,192,2024-06-13 11:00,,0.2,6.5,16,1,121.529556,25.020608,14
萬華,臺北市,23,,良好,0.5,0.26,29.9,12.4,24,7,11.1,14.3,3.1,2.6,274,2024-06-13 11:00,,0.2,7,19,0,121.507972,25.046503,13
中山,臺北市,31,,良好,0.8,0.4,23.9,12.1,21,11,16.7,25.1,8.3,2.8,232,2024-06-13 11:00,,0.4,9.4,17,0,121.526528,25.062361,12
士林,臺北市,28,,良好,0.7,0.22,24.6,14.9,26,11,12.4,16.3,3.9,2.4,263,2024-06-13 11:00,,0.2,8.7,21,0,121.51666356,25.10334003,11
淡水,新北市,25,,良好,1.5,0.14,28,23.1,43,6,5,8.1,3.1,1.8,240,2024-06-13 11:00,,0.1,5.6,25,1,121.449239,25.1645,10
林口,新北市,16,,良好,0.2,0.15,23.7,17.9,22,3,7.2,12.2,5,7.1,250,2024-06-13 11:00,,0.1,5,16,0,121.36548982,25.07798949,9
菜寮,新北市,27,,良好,0.7,0.23,27.8,15.6,25,8,10.4,13.7,3.2,3,260,2024-06-13 11:00,,0.2,8.2,19,0,121.481028,25.06895,8
新莊,新北市,27,,良好,0.4,0.13,27.9,12.0,19,6,5,7.1,2.1,5.5,249,2024-06-13 11:00,,0.2,8.4,19,0,121.4325,25.037972,7
板橋,新北市,17,,良好,0.7,0.2,30.1,14.2,19,4,7.3,10,2.6,2.7,246,2024-06-13 11:00,,0.2,4,17,0,121.458667,25.012972,6
土城,新北市,42,,良好,0.4,0.18,28,11.2,27,16,7.8,11.7,3.8,2.2,232,2024-06-13 11:00,,0.2,13,22,0,121.451861,24.982528,5
新店,新北市,32,,良好,0.6,0.14,27.2,11.6,5,10,5.6,7.7,2,3.3,305,2024-06-13 11:00,,0.1,9.8,15,0,121.537778,24.977222,4
萬里,新北市,20,,良好,0.8,0.25,24.1,19.3,17,5,10,12.6,2.6,0.6,218,2024-06-13 11:00,,0.1,6.1,14,0,121.689881,25.179667,3
汐止,新北市,28,,良好,1.1,0.22,25.9,12.2,23,5,12.9,18,5.1,2.3,224,2024-06-13 11:00,,0.2,8.7,22,0,121.64081,25.06624,2
基隆,基隆市,17,,良好,1.1,0.23,25.5,18.9,12,4,6.6,9.1,2.5,1.6,241,2024-06-13 11:00,,0.1,4.4,12,0,121.760056,25.129167,1
屏東(枋山),屏東縣,40,,良好,0.2,0.14,29.6,27.6,29,7,1.7,2.2,0.4,4,317,2024-06-13 10:00,,0.1,8.7,40,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,17,,良好,0.1,0.26,19.5,18.8,11,4,6.4,9.5,3,1.2,107,2024-06-13 10:00,,0.1,3.5,11,0,120.65525382,24.39017512,312
新北(樹林),新北市,30,,良好,0.6,0.19,18,7.6,20,11,8.1,15.3,7.1,0.7,353,2024-06-13 10:00,,0.2,9.2,20,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,23,,良好,,0.26,15.1,13.1,18,8,8.9,11.2,2.3,2.5,322,2024-06-13 10:00,,0.1,7.2,15,,120.37722,22.35222,204
臺南（麻豆）,臺南市,19,,良好,0.4,0.18,11.3,6.8,10,11,8,12.3,4.2,0.2,134,2024-06-13 10:00,,0.1,5.9,15,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,29,,良好,0.5,0.16,9.7,6.6,8,8,11.9,16,4.1,1.9,105,2024-06-13 10:00,,0.1,8.8,14,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,33,,良好,1.4,0.19,17.5,14.1,13,8,5.6,7.1,1.5,1.4,116,2024-06-13 10:00,,0.1,10.1,19,1,120.56373,23.96117,201
大城,彰化縣,17,,良好,0.6,0.08,18.7,18.6,11,3,4.1,7.4,3.2,2.1,188,2024-06-13 10:00,,0,4.3,11,0,120.26964167,23.85493056,85
富貴角,新北市,25,,良好,0.4,0.12,24.8,23.4,33,9,6.5,8.9,2.4,6.4,252,2024-06-13 10:00,,0.1,7.2,25,0,121.53656894,25.29681695,84
麥寮,雲林縣,15,,良好,1.2,0.18,19.5,16.8,12,2,3.1,6.6,3.5,3.3,180,2024-06-13 10:00,,0.1,2.2,14,1,120.251825,23.753506,83
關山,臺東縣,37,,良好,0.7,0.12,14.7,6.9,22,7,2.9,3.9,0.9,1.7,234,2024-06-13 10:00,,0.1,7.1,37,0,121.161933,23.045083,80
馬公,澎湖縣,51,二氧化氮,普通,10.4,0.15,2.8,14.0,33,20,31.6,134.7,103,3,188,2024-06-13 10:00,,0.1,11.5,23,3,119.566158,23.569031,78
金門,金門縣,27,,良好,0.9,0.12,24.7,20.9,26,11,7.5,9.3,1.7,3.2,208,2024-06-13 10:00,,0.1,8.3,22,0,118.312256,24.432133,77
馬祖,連江縣,31,,良好,0.5,0.11,24.6,22.4,16,11,3.2,5,1.8,3.9,224,2024-06-13 10:00,,0.1,9.7,21,0,119.93149378,26.15188416,75
埔里,南投縣,31,,良好,1.3,0.23,7,2.8,15,10,4.6,10.2,5.6,1.7,116,2024-06-13 10:00,,0.1,9.5,19,1,120.967903,23.968842,72
復興,高雄市,23,,良好,0.5,0.43,6.8,6.2,14,5,14.7,21.2,6.5,0.7,128,2024-06-13 10:00,,0.3,6.7,14,0,120.312017,22.608711,71
永和,新北市,29,,良好,0.9,0.62,16.3,6.4,19,10,14.2,27.9,13.7,1.8,214,2024-06-13 10:00,,0.5,9,15,0,121.516306,25.017,70
竹山,南投縣,26,,良好,0.9,0.09,14.9,6.4,9,7,2.9,4.3,1.3,1.6,220,2024-06-13 10:00,,0.1,8,17,0,120.677306,23.756389,69
中壢,桃園市,24,,良好,0.3,0.65,13.6,15.4,18,5,13.2,40.1,26.8,1.2,137,2024-06-13 10:00,,0.4,7.4,16,0,121.221667,24.953278,68
三重,新北市,43,,良好,0.9,0.94,9.9,6.8,25,13,26,88.3,62.3,-,-,2024-06-13 10:00,,0.8,11.1,18,1,121.493806,25.072611,67
冬山,宜蘭縣,36,,良好,1.6,0.29,20.7,13.8,44,11,12.5,20.8,8.3,1.8,28,2024-06-13 10:00,,0.2,11.1,29,0,121.792928,24.632203,66
宜蘭,宜蘭縣,19,,良好,0.7,0.22,34.2,21.4,10,5,5.2,6.8,1.6,1.6,143,2024-06-13 10:00,,0.1,4.8,14,0,121.746394,24.747917,65
陽明,臺北市,20,,良好,0.9,0.18,21.3,22.8,12,3,6,8.5,2.4,2.2,160,2024-06-13 10:00,,0.1,3.7,12,0,121.529583,25.182722,64
花蓮,花蓮縣,17,,良好,0.3,0.26,9.7,10.0,21,5,5.9,9.3,3.3,1,297,2024-06-13 10:00,,0.1,5.2,15,0,121.599769,23.971306,63
臺東,臺東縣,18,,良好,0.9,0.17,30,19.6,20,4,4.3,5.5,1.2,0.4,87,2024-06-13 10:00,,0.1,4.8,17,1,121.15045,22.755358,62
恆春,屏東縣,25,,良好,0.2,0.09,23.8,24.1,19,8,0.5,1.6,1,3.2,284,2024-06-13 10:00,,0,7.7,17,0,120.788928,21.958069,61
潮州,屏東縣,23,,良好,0.1,0.14,12.4,11.4,11,5,2.4,3.3,0.9,1.2,356,2024-06-13 10:00,,0.1,4.5,23,0,120.561175,22.523108,60
屏東,屏東縣,23,,良好,0.4,0.23,6.9,5.2,12,6,7.1,11,3.8,1.9,4,2024-06-13 10:00,,0.2,7.1,18,0,120.488033,22.673081,59
小港,高雄市,33,,良好,0.7,0.21,6.4,5.3,10,8,12.8,20.7,7.9,1.4,13,2024-06-13 10:00,,0.2,10.3,11,0,120.337736,22.565833,58
前鎮,高雄市,23,,良好,2.2,0.38,6.5,6.1,12,8,14.3,23.1,8.8,1.1,23,2024-06-13 10:00,,0.3,6.5,13,0,120.30833356,22.6044507,57
前金,高雄市,25,,良好,0.6,0.4,8,9.5,10,6,15.5,21.4,5.9,1.6,67,2024-06-13 10:00,,0.2,5.8,13,0,120.28676111,22.63390278,56
左營,高雄市,35,,良好,1,0.29,5.7,6.3,15,13,15.8,25.6,9.8,1.5,131,2024-06-13 10:00,,0.2,10.8,16,0,120.292917,22.674861,54
楠梓,高雄市,22,,良好,0.9,0.19,10.1,6.2,9,6,11.8,19.3,7.5,2.6,102,2024-06-13 10:00,,0.1,6.8,15,0,120.328289,22.733667,53
林園,高雄市,25,,良好,0.6,0.19,11.3,11.2,16,10,7,8.7,1.6,2.4,19,2024-06-13 10:00,,0.2,7.7,22,1,120.41175,22.4795,52
大寮,高雄市,36,,良好,3.7,0.2,3.3,4.1,21,13,15.5,28.3,12.8,1.4,37,2024-06-13 10:00,,0.2,11,21,1,120.425311,22.56413611,51
鳳山,高雄市,18,,良好,0.4,0.28,8.1,6.6,17,4,10,14.1,4.1,0.4,70,2024-06-13 10:00,,0.2,3.2,18,0,120.357422,22.628126,50
仁武,高雄市,26,,良好,0.6,0.17,12.4,9.7,11,6,12.2,16.6,4.4,1.4,79,2024-06-13 10:00,,0.1,8.1,15,1,120.332631,22.689056,49
橋頭,高雄市,18,,良好,1,0.16,11.9,10.0,6,3,9.5,12.8,3.3,1.7,52,2024-06-13 10:00,,0.1,5.6,12,0,120.305689,22.757506,48
美濃,高雄市,21,,良好,0.3,0.16,14.5,10.8,10,2,4.1,4.5,0.4,0.5,56,2024-06-13 10:00,,0.1,2.6,21,0,120.530542,22.883583,47
臺南,臺南市,22,,良好,1.8,0.3,9.3,11.5,12,5,13.4,18.6,5.1,1.3,121,2024-06-13 10:00,,0.2,5.8,13,0,120.21947897,22.98928311,46
安南,臺南市,34,,良好,1.4,0.27,9.8,10.2,19,13,13,20.8,7.7,2.5,102,2024-06-13 10:00,,0.2,10.5,16,0,120.2175,23.048197,45
善化,臺南市,22,,良好,0.2,0.1,14,10.1,11,6,3,5,1.9,1.3,117,2024-06-13 10:00,,0,6.8,13,0,120.29740529,23.11337642,44
新營,臺南市,16,,良好,0.1,0.2,11.6,12.4,10,1,6,8.9,2.9,0.6,199,2024-06-13 10:00,,0.1,1.2,16,0,120.31725,23.305633,43
嘉義,嘉義市,17,,良好,0.9,0.17,14.1,15.0,12,5,4.9,7.4,2.5,1.9,115,2024-06-13 10:00,,0.1,4.7,17,0,120.44125148,23.46477865,42
臺西,雲林縣,15,,良好,0.7,0.17,16.7,17.0,9,0,3.3,5.4,2.1,3.5,170,2024-06-13 10:00,,0.1,2.8,12,0,120.19933333,23.702175,41
朴子,嘉義縣,23,,良好,0.6,0.17,13.7,13.4,14,5,5.3,7.8,2.4,1.2,143,2024-06-13 10:00,,0.1,7,16,0,120.2478,23.46538,40
新港,嘉義縣,29,,良好,1.3,0.23,16.6,19.5,20,9,,,,1.2,136,2024-06-13 10:00,,0.1,9,19,1,120.345531,23.554839,39
崙背,雲林縣,23,,良好,2.3,0.14,17.3,16.6,13,7,5.6,11.7,6.1,2.3,166,2024-06-13 10:00,,0.1,7.2,15,0,120.348742,23.757547,38
斗六,雲林縣,18,,良好,0.8,0.19,20.3,15.7,11,3,4,6.7,2.7,1.8,177,2024-06-13 10:00,,0.1,5.6,17,1,120.544994,23.711853,37
南投,南投縣,17,,良好,0.3,0.17,13.8,6.6,14,7,5.2,8.9,3.7,1.7,151,2024-06-13 10:00,,0.1,5.3,16,0,120.685306,23.913,36
二林,彰化縣,29,,良好,0.6,0.13,22,19.4,14,9,3.3,4.2,0.9,3.4,178,2024-06-13 10:00,,0.1,8.8,15,1,120.409653,23.925175,35
線西,彰化縣,20,,良好,0.5,0.17,20.2,14.6,16,6,5.3,7.5,2.2,4,183,2024-06-13 10:00,,0.1,6.3,14,0,120.469061,24.131672,34
彰化,彰化縣,18,,良好,0.7,0.17,18.7,15.2,18,4,5.9,7.6,1.7,2.3,193,2024-06-13 10:00,,0.1,4.1,18,0,120.541519,24.066,33
西屯,臺中市,23,,良好,1.2,0.18,11.3,8.7,18,11,12.5,20,7.4,2.2,176,2024-06-13 10:00,,0.1,7.1,20,1,120.616917,24.162197,32
忠明,臺中市,21,,良好,0.4,0.22,14.7,11.7,15,5,8.5,12.2,3.6,2.1,152,2024-06-13 10:00,,0.1,6.5,16,0,120.641092,24.151958,31
大里,臺中市,23,,良好,1.1,0.18,14.8,12.1,7,8,8.1,12.5,4.4,1,134,2024-06-13 10:00,,0.1,7,14,0,120.67844444,24.09961111,30
沙鹿,臺中市,22,,良好,1,0.17,18.1,17.2,15,7,6.5,10,3.4,4.5,151,2024-06-13 10:00,,0.1,6.7,14,0,120.568794,24.225628,29
豐原,臺中市,19,,良好,1.3,0.15,19,21.1,17,3,3.6,5.5,1.9,3.4,144,2024-06-13 10:00,,0.1,4.1,12,0,120.74252414,24.25699731,28
三義,苗栗縣,19,,良好,,,,21.5,,,,,,5.7,183,2024-06-13 10:00,,0.1,5.8,12,0,120.75956754,24.38248443,27
苗栗,苗栗縣,23,,良好,1.1,0.14,20.7,22.1,12,5,4.4,6.8,2.4,7.5,192,2024-06-13 10:00,,0,7.2,11,1,120.82011468,24.56499183,26
頭份,苗栗縣,21,,良好,1.9,0.16,20.5,21.9,11,9,4.1,7.1,2.9,3.6,228,2024-06-13 10:00,,0.1,6.6,16,1,120.89869286,24.69690679,25
新竹,新竹市,19,,良好,0.8,0.2,20.5,21.3,15,3,6.8,9.7,2.9,2.8,226,2024-06-13 10:00,,0.1,4.8,11,,120.97236752,24.8056356,24
竹東,新竹縣,15,,良好,0.4,0.14,21.3,10.8,17,6,3.3,4.2,0.9,4.4,233,2024-06-13 10:00,,0.1,4.3,15,0,121.08895493,24.74091408,23
湖口,新竹縣,35,,良好,0.9,0.14,21.8,21.6,14,11,5.6,8.8,3.1,6.1,222,2024-06-13 10:00,,0.1,10.9,14,0,121.03886894,24.90009696,22
龍潭,桃園市,18,,良好,1.4,0.15,21.7,17.7,17,6,5.9,7.6,1.7,6,247,2024-06-13 10:00,,0.1,5.6,13,0,121.21645772,24.86400048,21
平鎮,桃園市,19,,良好,0.4,0.15,20.2,20.5,20,6,7.5,10.3,2.7,3.4,254,2024-06-13 10:00,,0.1,4.3,13,0,121.203986,24.952786,20
觀音,桃園市,25,,良好,0.2,0.08,21.2,21.0,17,9,3.6,5.5,1.9,6.4,240,2024-06-13 10:00,,0,7.8,18,0,121.08283092,25.03556747,19
大園,桃園市,20,,良好,0.3,0.12,21.6,22.0,18,1,5,6.8,1.8,5.6,230,2024-06-13 10:00,,0.1,4,17,0,121.20251473,25.06100357,18
桃園,桃園市,16,,良好,0.6,0.17,22.9,18.0,13,,6.1,8.8,2.7,2.8,230,2024-06-13 10:00,,0.1,,13,0,121.30500531,24.9947107,17
大同,臺北市,47,,良好,1.6,1.85,6.5,8.6,37,17,28.7,85.7,56.9,-,-,2024-06-13 10:00,,0.8,11.6,27,1,121.51342074,25.06331455,16
松山,臺北市,34,,良好,1.2,0.36,13.8,9.2,20,9,17.7,34.7,16.9,1.7,206,2024-06-13 10:00,,0.2,10.5,19,0,121.578611,25.05,15
古亭,臺北市,22,,良好,1.2,0.22,22.2,6.8,15,6,8.8,13.9,5.1,1.4,198,2024-06-13 10:00,,0.2,6.9,15,1,121.529556,25.020608,14
萬華,臺北市,23,,良好,0.4,0.31,21.7,10.6,25,7,13.1,18.2,5,1.3,241,2024-06-13 10:00,,0.2,7.2,18,0,121.507972,25.046503,13
中山,臺北市,32,,良好,1,0.61,15.4,11.0,22,15,19.2,35.1,15.9,2,280,2024-06-13 10:00,,0.3,9.4,16,0,121.526528,25.062361,12
士林,臺北市,27,,良好,0.7,0.36,19.1,13.6,33,10,14.1,19.6,5.5,2.5,247,2024-06-13 10:00,,0.2,8.4,18,0,121.51666356,25.10334003,11
淡水,新北市,21,,良好,1.4,0.16,21.5,22.5,32,6,8.2,12.7,4.4,1.5,220,2024-06-13 10:00,,0.1,5.5,21,1,121.449239,25.1645,10
林口,新北市,20,,良好,0.4,0.19,17.8,17.4,19,6,12.3,19.1,6.7,4.9,249,2024-06-13 10:00,,0.1,5.2,14,0,121.36548982,25.07798949,9
菜寮,新北市,28,,良好,1.1,0.32,20.6,14.0,25,9,12.5,18,5.5,1.8,262,2024-06-13 10:00,,0.2,8.6,17,0,121.481028,25.06895,8
新莊,新北市,27,,良好,0.9,0.17,23.8,9.5,20,7,6.7,9.8,3.1,3.5,234,2024-06-13 10:00,,0.2,8.4,21,0,121.4325,25.037972,7
板橋,新北市,16,,良好,0.7,0.23,23.4,12.2,23,6,9.6,14.1,4.4,3.4,245,2024-06-13 10:00,,0.2,4,16,0,121.458667,25.012972,6
土城,新北市,41,,良好,0.5,0.18,23.3,9.0,27,11,7.4,11.5,4,2.2,228,2024-06-13 10:00,,0.2,12.5,20,0,121.451861,24.982528,5
新店,新北市,10,,良好,0.5,0.17,23.3,,15,8,6.5,9.7,3.2,2.1,330,2024-06-13 10:00,,0.2,,,0,121.537778,24.977222,4
萬里,新北市,19,,良好,0.8,0.22,22.2,18.4,13,7,7.4,9.3,1.9,0.6,181,2024-06-13 10:00,,0.1,5.8,13,0,121.689881,25.179667,3
汐止,新北市,31,,良好,1.1,0.3,16.8,10.4,21,9,14.9,22.4,7.4,2.4,260,2024-06-13 10:00,,0.2,9.4,22,0,121.64081,25.06624,2
基隆,基隆市,17,,良好,1.1,0.25,19.8,18.2,14,5,7.4,11.1,3.6,1.9,194,2024-06-13 10:00,,0.1,4.7,12,0,121.760056,25.129167,1
屏東(枋山),屏東縣,44,,良好,0,0.09,28.5,27.3,33,8,0.7,0.9,0.1,3.4,335,2024-06-13 09:00,,0.1,9.2,44,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,17,,良好,0,0.2,18.3,18.8,11,2,4.7,6.6,1.8,1.2,109,2024-06-13 09:00,,0.1,3.2,12,0,120.65525382,24.39017512,312
新北(樹林),新北市,28,,良好,0.6,0.36,9.8,6.3,21,10,11.9,24.6,12.7,0.4,1,2024-06-13 09:00,,0.2,8.6,21,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,22,,良好,,0.28,13.5,12.5,15,9,9,10.9,1.8,1.4,314,2024-06-13 09:00,,0.1,6.9,15,,120.37722,22.35222,204
臺南（麻豆）,臺南市,18,,良好,0.4,0.25,8,6.1,13,5,11.4,17.3,5.9,0.2,125,2024-06-13 09:00,,0.1,4.7,16,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,27,,良好,0.3,0.2,6.9,6.2,12,10,13.8,18.9,5.1,1.9,74,2024-06-13 09:00,,0.1,8.3,16,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,34,,良好,1.3,0.2,15.9,13.7,25,12,6.3,8.1,1.8,1.8,116,2024-06-13 09:00,,0.1,10.6,21,1,120.56373,23.96117,201
大城,彰化縣,17,,良好,0.5,0.13,19.3,18.6,8,4,1.8,2.8,1,2.3,191,2024-06-13 09:00,,0,4.7,12,0,120.26964167,23.85493056,85
富貴角,新北市,24,,良好,0.6,0.12,22,22.9,31,7,5.9,7.9,2,6.2,254,2024-06-13 09:00,,0.1,6.7,24,0,121.53656894,25.29681695,84
麥寮,雲林縣,15,,良好,1.1,0.16,18.7,16.1,7,1,2.2,5.8,3.6,3.2,168,2024-06-13 09:00,,0.1,2.7,15,1,120.251825,23.753506,83
關山,臺東縣,40,,良好,0.7,0.13,15,5.5,30,5,3.6,5.8,2.2,1.5,42,2024-06-13 09:00,,0.1,7,40,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,7.9,0.16,4.3,16.5,30,11,27,113,85.9,2.8,190,2024-06-13 09:00,,0.1,9.3,20,3,119.566158,23.569031,78
金門,金門縣,23,,良好,0.9,0.12,22,20.2,27,12,8,9.4,1.4,2.9,214,2024-06-13 09:00,,0.1,7.2,20,0,118.312256,24.432133,77
馬祖,連江縣,31,,良好,0.4,0.11,21.8,22.2,24,12,3.9,6.2,2.3,2.2,214,2024-06-13 09:00,,0,9.5,22,0,119.93149378,26.15188416,75
埔里,南投縣,30,,良好,1.3,0.25,4.1,2.4,17,12,4.6,11,6.3,0.6,331,2024-06-13 09:00,,0.1,9.3,19,1,120.967903,23.968842,72
復興,高雄市,25,,良好,0,0.61,5.6,6.5,11,5,15.2,21.7,6.4,1.2,106,2024-06-13 09:00,,0.3,7.1,15,0,120.312017,22.608711,71
永和,新北市,28,,良好,1.1,1.43,4.8,5.1,18,10,15.6,44.7,29,1.2,11,2024-06-13 09:00,,0.5,8.5,14,0,121.516306,25.017,70
竹山,南投縣,26,,良好,1.1,0.15,12,5.0,17,11,5.8,7.4,1.5,1.8,142,2024-06-13 09:00,,0.1,8,18,0,120.677306,23.756389,69
中壢,桃園市,27,,良好,0.6,0.83,11.7,16.0,14,8,16.2,46.9,30.7,0.9,158,2024-06-13 09:00,,0.4,7.4,15,0,121.221667,24.953278,68
三重,新北市,45,,良好,1.1,1.22,4.5,6.8,18,15,27.3,102.8,75.5,-,-,2024-06-13 09:00,,0.7,10.2,16,1,121.493806,25.072611,67
冬山,宜蘭縣,36,,良好,0.3,0.29,11.6,13.3,25,13,10.1,14,3.9,0.4,176,2024-06-13 09:00,,0.2,11,26,0,121.792928,24.632203,66
宜蘭,宜蘭縣,18,,良好,0.6,0.25,21.1,19.7,17,5,6,7.8,1.7,0.4,183,2024-06-13 09:00,,0.1,5,14,0,121.746394,24.747917,65
陽明,臺北市,20,,良好,0.7,0.15,20.2,23.0,14,6,4.1,5.9,1.8,1.8,110,2024-06-13 09:00,,0.1,4.2,12,0,121.529583,25.182722,64
花蓮,花蓮縣,18,,良好,0.4,0.22,8.6,10.3,12,3,4.7,7.1,2.3,1.8,215,2024-06-13 09:00,,0.1,5.5,14,0,121.599769,23.971306,63
臺東,臺東縣,17,,良好,0.9,0.18,29.1,17.8,21,5,4.2,5.2,0.9,1.7,83,2024-06-13 09:00,,0.1,4.8,17,1,121.15045,22.755358,62
恆春,屏東縣,25,,良好,0.3,0.09,24.1,23.8,13,7,0.5,1.5,0.9,2.8,290,2024-06-13 09:00,,0,7.7,17,0,120.788928,21.958069,61
潮州,屏東縣,26,,良好,0.3,0.13,14.5,10.6,13,3,3.1,4.1,0.9,2.2,55,2024-06-13 09:00,,0.1,4.6,26,0,120.561175,22.523108,60
屏東,屏東縣,24,,良好,0.4,0.27,5.4,5,12,8,9.2,13.2,3.9,1.4,1,2024-06-13 09:00,,0.1,7.5,20,0,120.488033,22.673081,59
小港,高雄市,35,,良好,0.5,0.34,5.8,5.6,9,10,16.3,21.8,5.5,1.6,73,2024-06-13 09:00,,0.2,10.7,12,1,120.337736,22.565833,58
前鎮,高雄市,27,,良好,,0.61,5.1,6.3,8,6,16.5,25.6,9,0.7,9,2024-06-13 09:00,,0.3,5.9,12,0,120.30833356,22.6044507,57
前金,高雄市,27,,良好,0.5,0.58,5.6,9.9,11,7,16.8,20.5,3.6,1.9,33,2024-06-13 09:00,,0.2,5.5,14,0,120.28676111,22.63390278,56
左營,高雄市,34,,良好,1,0.55,0.9,6.8,15,9,18.3,34.9,16.6,1.8,87,2024-06-13 09:00,,0.2,10.6,17,0,120.292917,22.674861,54
楠梓,高雄市,27,,良好,1,0.25,5,5.1,7,7,16.8,27.1,10.3,2.3,94,2024-06-13 09:00,,0.1,7.7,17,0,120.328289,22.733667,53
林園,高雄市,25,,良好,0.7,0.19,15.1,10.9,15,6,6.2,6.8,0.5,1.8,27,2024-06-13 09:00,,0.2,7.7,23,1,120.41175,22.4795,52
大寮,高雄市,32,,良好,0.6,0.26,5,4.0,21,14,14.6,19,4.4,2,61,2024-06-13 09:00,,0.2,10,20,1,120.425311,22.56413611,51
鳳山,高雄市,20,,良好,0.4,0.45,5.5,6.6,12,4,12.6,16.4,3.8,0.7,87,2024-06-13 09:00,,0.2,3.1,19,0,120.357422,22.628126,50
仁武,高雄市,28,,良好,0.8,0.3,5.1,9.8,14,7,16.5,24,7.5,1.9,70,2024-06-13 09:00,,0.1,8.5,16,1,120.332631,22.689056,49
橋頭,高雄市,22,,良好,1,0.2,11.2,9.2,9,5,10.1,12.6,2.5,1.6,107,2024-06-13 09:00,,0.1,6.8,14,0,120.305689,22.757506,48
美濃,高雄市,25,,良好,0.3,0.14,19.4,9.5,8,5,2.9,3.2,0.2,1.2,56,2024-06-13 09:00,,0.1,2.9,25,0,120.530542,22.883583,47
臺南,臺南市,25,,良好,1.4,0.37,8.1,12.0,8,5,15.4,19.8,4.4,1,131,2024-06-13 09:00,,0.1,6.2,13,0,120.21947897,22.98928311,46
安南,臺南市,33,,良好,1.2,0.38,6.8,10.6,15,7,16.1,23.3,7.1,2.9,112,2024-06-13 09:00,,0.2,10.2,17,0,120.2175,23.048197,45
善化,臺南市,23,,良好,0.1,0.12,13.9,9.3,7,8,5.3,7.2,1.9,2.1,119,2024-06-13 09:00,,0,7,15,0,120.29740529,23.11337642,44
新營,臺南市,18,,良好,0,0.22,11.2,12.6,14,1,6.8,10,3.1,0.3,69,2024-06-13 09:00,,0.1,1.2,18,0,120.31725,23.305633,43
嘉義,嘉義市,19,,良好,0.9,0.16,13.9,14.9,15,5,5,6.7,1.7,1.8,112,2024-06-13 09:00,,0.1,4.7,19,0,120.44125148,23.46477865,42
臺西,雲林縣,15,,良好,0.6,0.14,17.9,16.8,8,1,2.4,4.1,1.6,2.9,179,2024-06-13 09:00,,0.1,4.1,14,0,120.19933333,23.702175,41
朴子,嘉義縣,23,,良好,0.7,0.21,13,12.9,8,4,7.5,11.9,4.3,2.6,137,2024-06-13 09:00,,0.1,7.1,18,0,120.2478,23.46538,40
新港,嘉義縣,28,,良好,0.8,0.2,17.9,19.3,23,16,7.2,11.3,4,1.6,127,2024-06-13 09:00,,0.1,8.7,20,1,120.345531,23.554839,39
崙背,雲林縣,23,,良好,1.6,0.11,14.4,16.4,15,7,4.9,9.7,4.8,1.9,156,2024-06-13 09:00,,0,7.2,16,0,120.348742,23.757547,38
斗六,雲林縣,21,,良好,0.9,0.18,17.8,15.4,13,6,5.1,7.7,2.5,1.3,174,2024-06-13 09:00,,0.1,6.5,18,1,120.544994,23.711853,37
南投,南投縣,17,,良好,0.3,0.21,12.7,5.7,14,7,6.6,8.9,2.3,2.7,157,2024-06-13 09:00,,0.1,4.4,17,0,120.685306,23.913,36
二林,彰化縣,31,,良好,0.8,0.11,21.2,18.8,12,7,2.3,3,0.7,3.4,173,2024-06-13 09:00,,0.1,9.7,17,1,120.409653,23.925175,35
線西,彰化縣,22,,良好,0.4,0.16,20.3,13.4,10,6,,,,4.7,178,2024-06-13 09:00,,0.1,6.7,16,0,120.469061,24.131672,34
彰化,彰化縣,19,,良好,0.6,0.17,17.6,14.4,14,3,5.3,6.9,1.6,2.9,196,2024-06-13 09:00,,0.1,4.2,19,0,120.541519,24.066,33
西屯,臺中市,21,,良好,1.2,0.23,11.3,9,27,6,12.7,17.9,5.2,2.3,172,2024-06-13 09:00,,0.1,6.5,20,1,120.616917,24.162197,32
忠明,臺中市,21,,良好,0.3,0.26,12.3,12.0,9,9,,,,2.1,161,2024-06-13 09:00,,0.1,6.6,16,0,120.641092,24.151958,31
大里,臺中市,22,,良好,1.3,0.27,13.1,12.7,10,11,9.3,12.8,3.4,2.1,148,2024-06-13 09:00,,0.1,6.7,14,0,120.67844444,24.09961111,30
